Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0xf2cae0e697fa855dd2896f9d35a98854f496eb4bd188d6c252873d29a58fceaf","Success","Burn","41753677","2024-08-28 08:45:06","0x9b3339dFBd95e8F9dD3bec3b9Cf3fD58dca13955","","0x0000000000000000000000000000000000000000","Null: 0x000...000","500","$397.77","Trust Wallet (TWT)"
"0x74efbe4b832869fdc90ff03a851d5a0b8e580f9f58b7b3bfbe0224e0c1f26990","Success","Transfer","41753655","2024-08-28 08:44:00","0xf9e45CA353743E0A94939A545ee07Db111b2DBb7","","0x9b3339dFBd95e8F9dD3bec3b9Cf3fD58dca13955","","500","$397.77","Trust Wallet (TWT)"
